internal_id,title,raw_description,time,hourly,pay,html_desc,phase
1,Participate in a Mock Hiring Evaluation,"Review fake job applications (resume + cover letter) and rank the candidates from most to least suitable. Then briefly justify your rankings based on provided criteria. Label: Survey, Requirements: None, Allowed Devices: Desktop",40,13.5,9,<p><b>Time:</b> 40 minutes | <b>Pay:</b> $9.00 <b>($13.50/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>Review fake job applications (resume + cover letter) and rank the candidates from most to least suitable. Then briefly justify your rankings based on provided criteria.</p>,1
2,Fashion Preferences Survey,"Complete a detailed survey about your clothing shopping behaviors, preferred brands, and style influences. Label: Survey, Requirements: None, Allowed Devices: Mobile, Tablet, Desktop",40,8,5.333333333,"<p><b>Time:</b> 40 minutes | <b>Pay:</b> $5.30 <b>($8.00/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> None | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>Complete a detailed survey about your clothing shopping behaviors, preferred brands, and style influences.</p>",1
3,Recommend a TV Show,"Share a brief recommendation for a TV show you think more people should watch. We're collecting public favorites for a crowd-curated watchlist. Label: Writing, Requirements: None, Allowed Devices: Mobile, Tablet, Desktop",5,16,1.333333333,"<p><b>Time:</b> 5 minutes | <b>Pay:</b> $1.30 <b>($16.00/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> None | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>Share a brief recommendation for a TV show you think more people should watch. We're collecting public favorites for a crowd-curated watchlist.</p>",1
4,Exercise Motivation Interview,"Participate in an audio-recorded interview discussing personal motivations, challenges, and habits related to physical fitness. Your open and detailed responses will contribute significantly to health behavior research. Label: Interview, Requirements: Audio, Microphone, Allowed Devices: Mobile, Tablet, Desktop",45,14.5,10.875,"<p><b>Time:</b> 45 minutes | <b>Pay:</b> $10.90 <b>($14.50/hr)</b><br><b>Label:</b> Interview | <b>Requirements:</b> Audio, Microphone | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>Participate in an audio-recorded interview discussing personal motivations, challenges, and habits related to physical fitness. Your open and detailed responses will contribute significantly to health behavior research.</p>",1
5,Software Usability Test: Install & Review,"Download a small desktop app, explore its features, and then submit a written review including three pros and three cons. A brief post-task questionnaire will also be required. Label: AI task, Requirements: Software download, Allowed Devices: Desktop",55,13,11.91666667,"<p><b>Time:</b> 55 minutes | <b>Pay:</b> $11.90 <b>($13.00/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> Software download | <b>Allowed Devices:</b> Desktop<br>Download a small desktop app, explore its features, and then submit a written review including three pros and three cons. A brief post-task questionnaire will also be required.</p>",1
6,Household chore division diary-style survey,"You will answer detailed questions about who does which household tasks in your living situation (e.g., cooking, cleaning, bills, childcare), including how satisfied you are with this division and whether it has changed over time. Some items will ask for short written explanations or examples of disagreements about chores; this is a long-form survey that is text-only and requires no audio, camera, or software download. Label: AI task, Requirements: Camera, Software download, Allowed Devices: Mobile, Tablet, Desktop",30,9.5,4.75,"<p><b>Time:</b> 30 minutes | <b>Pay:</b> $4.80 <b>($9.50/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> Camera, Software download | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will answer detailed questions about who does which household tasks in your living situation (e.g., cooking, cleaning, bills, childcare), including how satisfied you are with this division and whether it has changed over time. Some items will ask for short written explanations or examples of disagreements about chores; this is a long-form survey that is text-only and requires no audio, camera, or software download.</p>",1
7,Object counting in satellite images,"You will view small satellite image tiles (such as aerial views of parking lots, fields, or rooftops) and count how many target objects (e.g., cars, storage tanks, or trees) you see in each tile, entering the count into a text box. The task can feel quite repetitive and visually demanding because some images are cluttered or low-contrast; this is a visual annotation task that runs in a web browser with no audio, camera, or software download. Label: Annotation, Requirements: Camera, Software download, Allowed Devices: Mobile, Tablet, Desktop",50,8.5,7.083333333,"<p><b>Time:</b> 50 minutes | <b>Pay:</b> $7.10 <b>($8.50/hr)</b><br><b>Label:</b> Annotation | <b>Requirements:</b> Camera, Software download | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will view small satellite image tiles (such as aerial views of parking lots, fields, or rooftops) and count how many target objects (e.g., cars, storage tanks, or trees) you see in each tile, entering the count into a text box. The task can feel quite repetitive and visually demanding because some images are cluttered or low-contrast; this is a visual annotation task that runs in a web browser with no audio, camera, or software download.</p>",1
8,Detailed workplace experiences survey with open-ended responses,"In this study, you will answer a series of structured questions about your previous or current job, including workplace policies, communication styles, and your perceptions of fairness and inclusion, with several longer text responses. The survey is somewhat lengthy and reflective but involves no audio or camera and can be completed in a single sitting in your browser. Label: AI task, Requirements: Camera, Allowed Devices: Mobile, Tablet, Desktop",40,15.5,10.33333333,"<p><b>Time:</b> 40 minutes | <b>Pay:</b> $10.30 <b>($15.50/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> Camera | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>In this study, you will answer a series of structured questions about your previous or current job, including workplace policies, communication styles, and your perceptions of fairness and inclusion, with several longer text responses. The survey is somewhat lengthy and reflective but involves no audio or camera and can be completed in a single sitting in your browser.</p>",1
9,Travel Photos Rating Survey,"You'll view scenic travel images and rate each one based on how calming, adventurous, or exciting it feels to you. Great for those who enjoy browsing beautiful photos. Label: Survey, Requirements: None, Allowed Devices: Mobile, Tablet, Desktop",5,16,1.333333333,"<p><b>Time:</b> 5 minutes | <b>Pay:</b> $1.30 <b>($16.00/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> None | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You'll view scenic travel images and rate each one based on how calming, adventurous, or exciting it feels to you. Great for those who enjoy browsing beautiful photos.</p>",1
10,Label the Parts of an Interface,"You'll be shown screenshots from software interfaces and asked to label elements like buttons, sliders, and dropdowns using a guided tool. Familiarity with digital interfaces is helpful. Label: Annotation, Requirements: None, Allowed Devices: Desktop",20,13.5,4.5,"<p><b>Time:</b> 20 minutes | <b>Pay:</b> $4.50 <b>($13.50/hr)</b><br><b>Label:</b> Annotation | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>You'll be shown screenshots from software interfaces and asked to label elements like buttons, sliders, and dropdowns using a guided tool. Familiarity with digital interfaces is helpful.</p>",1
